t,S,I,R
0,0.99,0.01,0
0.01,0.9899886821358133,0.01000655552414346,4.762340043262503E-06
0.02,0.9899773569818197,0.010013115216176522,9.527802003788025E-06
0.03,0.9899660245335555,0.010019679078578016,1.4296387866376878E-05
0.04,0.9899546847865549,0.010026247113828017,1.9068099617009738E-05
0.05,0.9899433377363492,0.010032819324407851,2.384293924284824E-05
0.060000000000000005,0.9899319833784677,0.01003939571280009,2.8620908732235586E-05
0.07,0.9899206217084368,0.010045976281488555,3.3402010074697115E-05
0.08,0.9899092527217808,0.010052561032958315,3.818624526094092E-05
0.09,0.9898978764140215,0.010059149969695688,4.297361628285843E-05
0.09999999999999999,0.9898864927806783,0.010065743094188244,4.776412513352501E-05
0.10999999999999999,0.9898751018172681,0.010072340408924801,5.2557773807200545E-05
0.11999999999999998,0.9898637035193054,0.010078941916395428,5.735456429933005E-05
0.12999999999999998,0.9898522978823022,0.010085547619091442,6.215449860654426E-05
0.13999999999999999,0.9898408849017681,0.010092157519505412,6.695757872666024E-05
0.15,0.9898294645732104,0.010098771620131158,7.176380665868192E-05
0.16,0.9898180368921337,0.010105389923463753,7.657318440280078E-05
0.17,0.9898066018540403,0.01011201243199952,8.138571396039637E-05
0.18000000000000002,0.9897951594544302,0.010118639148236033,8.620139733403697E-05
0.19000000000000003,0.9897837096888007,0.01012527007467212,9.102023652748012E-05
0.20000000000000004,0.9897722525526468,0.01013190521380786,9.584223354567325E-05
0.21000000000000005,0.989760788041461,0.010138544568144588,0.0001006673903947543
0.22000000000000006,0.9897493161507334,0.01014518814018489,0.00010549570908205229
0.23000000000000007,0.9897378368759516,0.010151835932432603,0.0001103271916160879
0.24000000000000007,0.9897263502126009,0.010158487947392823,0.00011516184000657408
0.25000000000000006,0.989714856156164,0.010165144187571896,0.00011999965626441668
0.26000000000000006,0.9897033547021211,0.010171804655477425,0.000124840642401715
0.2700000000000001,0.9896918458459503,0.010178469353618267,0.0001296848004317624
0.2800000000000001,0.9896803295831267,0.010185138284504533,0.00013453213236904694
0.2900000000000001,0.9896688059091234,0.01019181145064759,0.0001393826402292519
0.3000000000000001,0.9896572748194109,0.010198488854560064,0.00014423632602925644
0.3100000000000001,0.9896457363094573,0.01020517049875583,0.00014909319178713616
0.3200000000000001,0.9896341903747281,0.010211856385750024,0.00015395323952216373
0.3300000000000001,0.9896226370106864,0.010218546518059039,0.00015881647125480947
0.34000000000000014,0.989611076212793,0.010225240898200523,0.00016368288900674196
0.35000000000000014,0.9895995079765061,0.010231939528693381,0.00016855249480082863
0.36000000000000015,0.9895879322972814,0.01023864241205778,0.00017342529066113633
0.37000000000000016,0.9895763491705722,0.010245349550815137,0.00017830127861293197
0.38000000000000017,0.9895647585918295,0.010252060947488135,0.00018318046068268313
0.3900000000000002,0.9895531605565016,0.01025877660460071,0.0001880628388980586
0.4000000000000002,0.9895415550600344,0.010265496524678059,0.00019294841528792904
0.4100000000000002,0.9895299420978714,0.010272220710246636,0.00019783719188236755
0.4200000000000002,0.9895183216654536,0.010278949163834159,0.00020272917071265025
0.4300000000000002,0.9895066937582195,0.0102856818879696,0.00020762435381125693
0.4400000000000002,0.9894950583716053,0.010292418885183197,0.0002125227432118716
0.45000000000000023,0.9894834155010446,0.010299160158006441,0.00021742434094938314
0.46000000000000024,0.9894717651419684,0.01030590570897209,0.0002223291490598858
0.47000000000000025,0.9894601072898056,0.01031265554061416,0.00022723716958068
0.48000000000000026,0.9894484419399823,0.010319409655467928,0.00023214840455027265
0.49000000000000027,0.9894367690879221,0.010326168056069934,0.00023706285600837802
0.5000000000000002,0.9894250887290466,0.010332930744957976,0.00024198052599591816
0.5100000000000002,0.9894134008587743,0.01033969772467112,0.0002469014165550236
0.5200000000000002,0.9894017054725217,0.01034646899774969,0.0002518255297290339
0.5300000000000002,0.9893900025657026,0.010353244566735273,0.0002567528675624983
0.5400000000000003,0.9893782921337285,0.01036002443417072,0.0002616834321011762
0.5500000000000003,0.9893665741720082,0.010366808602600145,0.0002666172253920379
0.5600000000000003,0.9893548486759483,0.010373597074568926,0.0002715542494832652
0.5700000000000003,0.9893431156409525,0.010380389852623705,0.00027649450642425183
0.5800000000000003,0.9893313750624224,0.010387186939312386,0.0002814379982656043
0.5900000000000003,0.9893196269357571,0.01039398833718414,0.00028638472705914226
0.6000000000000003,0.9893078712563531,0.010400794048789401,0.00029133469485789933
0.6100000000000003,0.9892961080196044,0.01040760407667987,0.0002962879037161235
0.6200000000000003,0.9892843372209026,0.010414418423408511,0.0003012443556892778
0.6300000000000003,0.9892725588556368,0.010421237091529556,0.0003062040528340411
0.6400000000000003,0.9892607729191936,0.0104280600835985,0.0003111669972083083
0.6500000000000004,0.9892489794069571,0.010434887402172107,0.0003161331908711914
0.6600000000000004,0.989237178314309,0.010441719049808406,0.0003211026358830196
0.6700000000000004,0.9892253696366284,0.010448555029066693,0.00032607533430534046
0.6800000000000004,0.9892135533692921,0.010455395342507532,0.00033105128820092
0.6900000000000004,0.989201729507674,0.01046223999269275,0.00033603049963374363
0.7000000000000004,0.9891898980471461,0.01046908898218545,0.00034101297066901665
0.7100000000000004,0.9891780589830774,0.010475942313549997,0.00034599870337316476
0.7200000000000004,0.9891662123108347,0.010482799989352023,0.00035098769981383484
0.7300000000000004,0.9891543580257822,0.010489662012158434,0.00035597996205989543
0.7400000000000004,0.9891424961232818,0.0104965283845374,0.00036097549218143735
0.7500000000000004,0.9891306265986924,0.010503399109058361,0.0003659742922497743
0.7600000000000005,0.9891187494473711,0.010510274188292031,0.00037097636433744364
0.7700000000000005,0.989106864664672,0.010517153624810387,0.0003759817105182066
0.7800000000000005,0.9890949722459469,0.01052403742118668,0.00038099033286704935
0.7900000000000005,0.989083072186545,0.010530925579995428,0.00038600223346018324
0.8000000000000005,0.9890711644818132,0.010537818103812427,0.00039101741437504563
0.8100000000000005,0.9890592491270956,0.010544714995214734,0.00039603587769030036
0.8200000000000005,0.9890473261177342,0.010551616256780683,0.0004010576254858384
0.8300000000000005,0.989035395449068,0.010558521891089878,0.0004060826598427785
0.8400000000000005,0.989023457116434,0.010565431900723196,0.0004111109828434677
0.8500000000000005,0.9890115111151664,0.010572346288262785,0.00041614259657148203
0.8600000000000005,0.988999557440597,0.010579265056292064,0.00042117750311162713
0.8700000000000006,0.988987596088055,0.010586188207395725,0.0004262157045499387
0.8800000000000006,0.9889756270528672,0.010593115744159736,0.0004312572029736832
0.8900000000000006,0.9889636503303579,0.010600047669171333,0.0004363020004713586
0.9000000000000006,0.9889516659158489,0.010606983985019029,0.0004413500991326947
0.9100000000000006,0.9889396738046594,0.01061392469429261,0.000446401501048654
0.9200000000000006,0.9889276739921061,0.010620869799583134,0.0004514562083114321
0.9300000000000006,0.9889156664735033,0.010627819303482937,0.0004565142230144585
0.9400000000000006,0.9889036512441627,0.010634773208585626,0.00046157554725239703
0.9500000000000006,0.9888916282993935,0.010641731517486085,0.0004666401831211465
0.9600000000000006,0.9888795976345024,0.01064869423278047,0.00047170813271784143
0.9700000000000006,0.9888675592447936,0.010655661357066217,0.0004767793981408525
0.9800000000000006,0.9888555131255689,0.010662632892942035,0.0004818539814897873
0.9900000000000007,0.9888434592721272,0.010669608843007907,0.0004869318848654908
