t,y
0,0.5
0.01,0.5016666510418294
0.02,0.5033332557895374
0.03,0.5049997772128506
0.04,0.5066661782895184
0.05,0.508332422008602
0.060000000000000005,0.5099984713737606
0.07,0.5116642894065366
0.08,0.5133298391496353
0.09,0.5149950836702014
0.09999999999999999,0.5166599860630914
0.10999999999999999,0.5183245094541393
0.11999999999999998,0.5199886170034176
0.12999999999999998,0.5216522719084911
0.13999999999999999,0.5233154374076638
0.15,0.5249780767832182
0.16,0.5266401533646453
0.17,0.5283016305318675
0.18000000000000002,0.5299624717184499
0.19000000000000003,0.5316226404148027
0.20000000000000004,0.5332821001713723
0.21000000000000005,0.534940814601822
0.22000000000000006,0.5365987473861988
0.23000000000000007,0.5382558622740903
0.24000000000000007,0.539912123087766
0.25000000000000006,0.541567493725307
0.26000000000000006,0.54322193816372
0.2700000000000001,0.5448754204620375
0.2800000000000001,0.5465279047644022
0.2900000000000001,0.5481793553031351
0.3000000000000001,0.5498297364017883
0.3100000000000001,0.5514790124781799
0.3200000000000001,0.553127148047411
0.3300000000000001,0.5547741077248661
0.34000000000000014,0.5564198562291937
0.35000000000000014,0.5580643583852676
0.36000000000000015,0.5597075791271299
0.37000000000000016,0.5613494835009125
0.38000000000000017,0.5629900366677388
0.3900000000000002,0.5646292039066036
0.4000000000000002,0.5662669506172321
0.4100000000000002,0.5679032423229159
0.4200000000000002,0.5695380446733275
0.4300000000000002,0.5711713234473108
0.4400000000000002,0.5728030445556487
0.45000000000000023,0.5744331740438059
0.46000000000000024,0.5760616780946486
0.47000000000000025,0.5776885230311378
0.48000000000000026,0.5793136753189987
0.49000000000000027,0.5809371015693632
0.5000000000000002,0.5825587685413871
0.5100000000000002,0.5841786431448406
0.5200000000000002,0.5857966924426713
0.5300000000000002,0.5874128836535405
0.5400000000000003,0.5890271841543315
0.5500000000000003,0.5906395614826297
0.5600000000000003,0.5922499833391746
0.5700000000000003,0.5938584175902822
0.5800000000000003,0.5954648322702395
0.5900000000000003,0.597069195583668
0.6000000000000003,0.5986714759078583
0.6100000000000003,0.6002716417950745
0.6200000000000003,0.6018696619748275
0.6300000000000003,0.603465505356118
0.6400000000000003,0.6050591410296482
0.6500000000000004,0.6066505382700021
0.6600000000000004,0.6082396665377947
0.6700000000000004,0.6098264954817878
0.6800000000000004,0.6114109949409752
0.6900000000000004,0.6129931349466345
0.7000000000000004,0.6145728857243468
0.7100000000000004,0.6161502176959824
0.7200000000000004,0.6177251014816549
0.7300000000000004,0.6192975079016405
0.7400000000000004,0.6208674079782646
0.7500000000000004,0.6224347729377538
0.7600000000000005,0.6239995742120554
0.7700000000000005,0.6255617834406206
0.7800000000000005,0.6271213724721555
0.7900000000000005,0.6286783133663362
0.8000000000000005,0.6302325783954897
0.8100000000000005,0.6317841400462407
0.8200000000000005,0.6333329710211222
0.8300000000000005,0.6348790442401517
0.8400000000000005,0.6364223328423732
0.8500000000000005,0.6379628101873619
0.8600000000000005,0.6395004498566956
0.8700000000000006,0.6410352256553894
0.8800000000000006,0.6425671116132953
0.8900000000000006,0.6440960819864664
0.9000000000000006,0.6456221112584852
0.9100000000000006,0.6471451741417563
0.9200000000000006,0.6486652455787633
0.9300000000000006,0.6501823007432901
0.9400000000000006,0.6516963150416066
0.9500000000000006,0.6532072641136182
0.9600000000000006,0.6547151238339793
0.9700000000000006,0.6562198703131722
0.9800000000000006,0.6577214798985487
0.9900000000000007,0.6592199291753369
1.0000000000000007,0.6607151949676121
1.0100000000000007,0.6622072543392318
1.0200000000000007,0.6636960845947352
1.0300000000000007,0.6651816632802072
1.0400000000000007,0.6666639681841066
1.0500000000000007,0.6681429773380588
1.0600000000000007,0.6696186690176139
1.0700000000000007,0.6710910217429683
1.0800000000000007,0.6725600142796518
1.0900000000000007,0.67402562563918
1.1000000000000008,0.6754878350796704
1.1100000000000008,0.676946622106425
1.1200000000000008,0.6784019664724775
1.1300000000000008,0.6798538481791058
1.1400000000000008,0.68130224747631
1.1500000000000008,0.6827471448632566
1.1600000000000008,0.684188521088688
1.1700000000000008,0.685626357151298
1.1800000000000008,0.6870606343000738
1.1900000000000008,0.6884913340346037
1.2000000000000008,0.689918438105352
1.2100000000000009,0.6913419285139002
1.2200000000000009,0.692761787513155
1.2300000000000009,0.6941779976075235
1.2400000000000009,0.695590541553056
1.2500000000000009,0.6969994023575554
1.260000000000001,0.6984045632806555
1.270000000000001,0.699806007833866
1.280000000000001,0.7012037197805868
1.290000000000001,0.7025976831360897
1.300000000000001,0.7039878821674697
1.310000000000001,0.7053743013935639
1.320000000000001,0.7067569255848414
1.330000000000001,0.7081357397632602
1.340000000000001,0.709510729202096
1.350000000000001,0.7108818794257395
1.360000000000001,0.7122491762094644
1.370000000000001,0.7136126055791654
1.380000000000001,0.7149721538110678
1.390000000000001,0.7163278074314074
1.400000000000001,0.7176795532160818
1.410000000000001,0.719027378190273
1.420000000000001,0.7203712696280429
1.430000000000001,0.7217112150519001
1.440000000000001,0.723047202232339
1.450000000000001,0.7243792191873526
1.460000000000001,0.7257072541819176
1.470000000000001,0.7270312957274532
1.480000000000001,0.7283513325812536
1.490000000000001,0.7296673537458949
1.500000000000001,0.7309793484686152
1.5100000000000011,0.7322873062406711
1.5200000000000011,0.7335912167966676
1.5300000000000011,0.7348910701138646
1.5400000000000011,0.7361868564114578
1.5500000000000012,0.7374785661498371
1.5600000000000012,0.7387661900298201
1.5700000000000012,0.7400497189918629
1.5800000000000012,0.7413291442152474
1.5900000000000012,0.7426044571172469
1.6000000000000012,0.7438756493522682
